id_atribut_sada;nazev;scenar_nazev;Průměr_kol;Vítěz_Hráč1_%;Medián_kol;Min_kol;Max_kol;Směrodatná_odchylka_kol;Počet_simulací;Vítěz_Hráč2_%;Nerozhodně_%;Neznámý_%
4.rytir_barbar;Rytíř_vs_Ostrostřelec;rovina;6.84;16.9;7.0;5;12;1.16;1000;83.1;0.0;0.0
5.;Rytíř_vs_Ostrostřelec;hora;10.09;8.0;10.0;5;20;2.24;1000;92.0;0.0;0.0
5.;Rytíř_vs_Ostrostřelec;rovina;6.96;21.1;7.0;5;12;1.19;1000;78.9;0.0;0.0
6.lovec_def_-1;Rytíř_vs_Ostrostřelec;hora;10.09;8.0;10.0;5;20;2.24;1000;92.0;0.0;0.0
6.lovec_def_-1;Rytíř_vs_Ostrostřelec;rovina;6.96;21.1;7.0;5;12;1.19;1000;78.9;0.0;0.0
1.zaklad;Válečník_vs_Barbar;hora;7.63;8.2;7.0;3;23;2.52;1000;91.8;0.0;0.0
1.zaklad;Válečník_vs_Barbar;rovina;4.53;6.7;4.0;3;11;0.97;1000;93.3;0.0;0.0
2.oslabeni;Válečník_vs_Barbar;hora;8.22;8.8;8.0;4;21;2.51;1000;91.2;0.0;0.0
2.oslabeni;Válečník_vs_Barbar;rovina;4.79;8.9;5.0;3;10;1.19;1000;91.1;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Barbar;hora;7.95;4.0;7.5;4;21;2.49;1000;96.0;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Barbar;rovina;4.64;4.5;4.0;3;10;1.2;1000;95.5;0.0;0.0
4.rytir_barbar;Válečník_vs_Barbar;hora;7.97;5.0;7.0;4;21;2.51;1000;95.0;0.0;0.0
4.rytir_barbar;Válečník_vs_Barbar;rovina;4.62;4.9;4.0;3;10;1.21;1000;95.1;0.0;0.0
5.;Válečník_vs_Barbar;hora;7.93;13.2;7.0;4;21;2.5;1000;86.8;0.0;0.0
5.;Válečník_vs_Barbar;rovina;4.59;18.5;4.0;3;10;1.19;1000;81.5;0.0;0.0
6.lovec_def_-1;Válečník_vs_Barbar;hora;7.93;13.2;7.0;4;21;2.5;1000;86.8;0.0;0.0
6.lovec_def_-1;Válečník_vs_Barbar;rovina;4.59;18.5;4.0;3;10;1.19;1000;81.5;0.0;0.0
1.zaklad;Válečník_vs_Lovec;hora;8.86;35.6;8.0;4;21;2.74;1000;64.4;0.0;0.0
1.zaklad;Válečník_vs_Lovec;rovina;5.15;34.7;5.0;3;11;0.98;1000;65.3;0.0;0.0
2.oslabeni;Válečník_vs_Lovec;hora;9.11;17.2;9.0;4;21;2.61;1000;82.8;0.0;0.0
2.oslabeni;Válečník_vs_Lovec;rovina;5.08;27.8;5.0;3;11;0.96;1000;72.2;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Lovec;hora;9.11;14.2;9.0;4;21;2.61;1000;85.8;0.0;0.0
3.posileni_barbar_lovec;Válečník_vs_Lovec;rovina;5.08;27.5;5.0;3;11;0.97;1000;72.5;0.0;0.0
